ID,Sex,Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
1,0,42137.99514,WARRANTS,WARRANT ARREST,Wednesday,NORTHERN,1,OAK ST / LAGUNA ST,-122.4258917,37.7745986
2,1,42137.99514,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,NORTHERN,1,OAK ST / LAGUNA ST,-122.4258917,37.7745986
3,0,42137.98125,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,NORTHERN,1,VANNESS AV / GREENWICH ST,-122.424363,37.80041432
4,0,42137.97917,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,0,1500 Block of LOMBARD ST,-122.4269953,37.80087263
5,0,42137.97917,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,0,100 Block of BRODERICK ST,-122.4387376,37.77154117
6,0,42137.97917,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,INGLESIDE,0,0 Block of TEDDY AV,-122.4032524,37.7134307
7,0,42137.97917,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,0,AVALON AV / PERU AV,-122.423327,37.72513804
8,0,42137.97917,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,BAYVIEW,0,KIRKWOOD AV / DONAHUE ST,-122.3712743,37.72756407
9,0,42137.95833,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,0,600 Block of 47TH AV,-122.508194,37.77660126
10,0,42137.95833,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,JEFFERSON ST / LEAVENWORTH ST,-122.4190877,37.80780155
11,1,42137.95694,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,JEFFERSON ST / LEAVENWORTH ST,-122.4190877,37.80780155
12,0,42137.9375,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,TARAVAL,0,0 Block of ESCOLTA WY,-122.4879831,37.73766665
13,0,42137.9375,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,TENDERLOIN,0,TURK ST / JONES ST,-122.4124143,37.7830038
14,1,42137.92083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,FILLMORE ST / GEARY BL,-122.4329146,37.78435334
15,0,42137.91667,NON-CRIMINAL,FOUND PROPERTY,Wednesday,BAYVIEW,0,200 Block of WILLIAMS AV,-122.3977444,37.72993469
16,0,42137.91667,NON-CRIMINAL,FOUND PROPERTY,Wednesday,BAYVIEW,0,0 Block of MENDELL ST,-122.3836915,37.74318904
17,1,42137.91667,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Wednesday,TENDERLOIN,0,EDDY ST / JONES ST,-122.4125974,37.78393203
18,0,42137.91319,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,INGLESIDE,0,GODEUS ST / MISSION ST,-122.4216815,37.7428222
19,0,42137.90278,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,BAYVIEW,1,MENDELL ST / HUDSON AV,-122.3864009,37.73898349
